"ID","Name","Active","Type","IsCommercial","SiteSourceMultiplierOverride","ChargesRCC","FuelSurcharge","PurchasedEnergyAdj","PCE","CO2","CustomerChg","DemandCharge","Block1","Block2","Block3","Block4","Block5","Rate1","Rate2","Rate3","Rate4","Rate5","BuybackRate","Notes"
19,"Atmautluak Joint Utilities - Residential",1,1,0,,0,,,0.24,1.50,,,,,,,,0.70,,,,,,"From AEA  updated Jan 2018;  for residential ; CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
20,"Barrow Utilities & Electric-elec - Residential",1,1,0,,0,,,,1.32,15.15,,,,,,,0.11,,,,,,"7/2017 for Residential and Commercial Single Phase; Schedule A"
21,"Barrow Utilities & Electric-gas - Residential",1,2,0,,0,,,,,22.84,,55,,,,,0.00,0.32,,,,,"7/2017"
22,"Beaver Village Electric Utility - Residential",1,1,0,,0,,,0.56,2.30,0.00,,,,,,,0.90,,,,,,"AEA report updated Jan 2018; CO2 from FY92"
23,"Bethel Utilities Corportion - Residential",1,1,0,,1,0.24,,0.11,1.50,5.00,,700,,,,,0.08,,,,,,"AVEC took over Bethel Utilities in May 2014;  updated Jan 2018"
25,"Birch Creek Utilities - Residential",0,1,0,,0,,,,2.70,,,,,,,,0.60,,,,,,"from 1993 APUC utility report; CO2 from PCEStatistics from Alaska Energy Authority (DCRA).  Carried forward the rate rom 6/5/11 library, since no response from utility and no report from AEA about them, they are listed as inactive now."
27,"Buckland, City of- Residential",1,1,0,,0,,,0.13,1.70,,,,,,,,0.47,,,,,,"updated Jan 2018"
30,"Chignik Lake Electric Utility - Residential",1,1,0,,0,,,0.42,2.40,5.00,,,,,,,0.85,,,,,,"updated Jan 2018 AEA"
31,"Chignik, City of - Residential",1,1,0,,0,,,0.24,3.60,0.00,,,,,,,0.43,,,,,,"AEA 7/2017 for residential;"
32,"Chitina Electric - Residential",1,1,0,,0,,,0.33,2.40,25.00,,,,,,,0.65,,,,,,"AEA report updated Jan 2018"
33,"Central Electric- Residential",1,1,0,,1,,,0.31,2.20,0.00,,,,,,,0.60,,,,,,"AEA for residential updated Jan 2018; Now called Gold Country Energy;  CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
36,"Copper Valley Electric Assn 1 - Residential",1,1,0,,0,0.17,,0.00,1.60,12.00,,,,,,,0.07,,,,,0.10,"Glennallen, Copper Center; updated Jan 2018 website ;  Fuel surcharge is based on average of 12 months for fuel charge plus G&T minus heat revenue  Charge per kWh This breakdown was instituted by GVEA in June 2012.  CO2 from combination of Glennallen and Valdez and Solomon Gulch generation."
37,"Cordova Electric Cooperative - Residential",1,1,0,,0,,,0.08,1.50,21.50,,500,,,,,0.28,0.22,,,,,"Cordova Electric schedule effective 3/2015 still in effect updated Jan 2018"
38,"Diomede Joint Utilities - Residential",1,1,0,,0,,,0.22,2.30,35.00,,,,,,,0.65,,,,,,"AEIDC for residential /2017;  CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
41,"Egegik Light & Power - Residential",1,1,0,,0,,,0.41,2.00,0.00,,,,,,,0.65,,,,,,"AEA updated Jan 2018 for residential;  -  CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
42,"AVEC - Ekwok - Residential",1,1,0,,0,0.24,,0.32,2.90,5.00,,700,,,,,0.30,0.20,,,,0.19,"AVECupdated Jan 2018; In 2012 was first listed as AVEC"
43,"Elfin Cove Electric - Residential",1,1,0,,0,,,0.35,2.00,,,,,,,,0.64,,,,,,"AEA updated Jan 2018 for residential;  -  CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
45,"False Pass Electric - Residential",1,1,0,,0,,,0.11,2.80,,,,,,,,0.44,,,,,,"AEA updated Jan 2018;  -  CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
47,"G&K, Inc - Residential",1,1,0,,1,,,0.45,1.60,12.50,,,,,,,0.66,,,,,,"Cold Bay; AEA updated Jan 2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
48,"Galena Electric Utility - Residential",1,1,0,,0,,,0.20,1.60,11.20,,,,,,,0.67,,,,,,"AEA for residential  updated Jan 2018"
49,"Golovin, City of - Residential",1,1,0,,0,,,0.13,2.20,,,,,,,,0.38,,,,,,"from AEA updated Jan 2018 for residential"
50,"Gustavus Electric Company - Residential",1,1,0,,0,,,0.09,1.90,20.00,,,,,,,0.36,,,,,,"updated Jan 2018- in 2015 it converted to APT and they say there are no large commercial customers;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
51,"Gwitchyaa Zhee Utility Co - Residential",1,1,0,,1,,,0.37,2.00,0.00,,,,,,,0.70,,,,,,"Fort Yukon; updated Jan 2018  from AEA"
53,"Homer Electric Assn  - Residential",1,1,0,,1,,0.07,0.00,1.10,20.00,,,,,,,0.14,,,,,0.06,"rates updated Jan 2018;  new rate structure; rates same for all communities served; minimum charge required ($19.30) isn't included here"
55,"Hughes Power & Light Co - Residential",1,1,0,,0,,,0.49,2.25,,,,,,,,0.71,,,,,,"updated Jan 2018 AEA for residential;  CO2 estimated because of lack of data from PCE Statistics from Alaska Energy Authority (DCRA)"
56,"I-N-N Electric Cooperative, Inc - Residential",1,1,0,,0,,,0.39,1.60,19.50,,,,,,,0.65,,,,,,"Iliamna, New Halen; updated Jan 2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA);"
57,"Igiugig Village Council - Residential",1,1,0,,0,,,0.64,2.50,5.00,,,,,,,0.90,,,,,,"AEA updated Jan 2018for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
58,"Ipnatchiaq Electrric Co - Residential",1,1,0,,0,,,0.26,1.80,19.25,,,,,,,0.71,,,,,,"Deering; updated Jan 2018 for residential;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
61,"Ketchikan, City of - Residential",1,1,0,,0,0.00,,0.00,6.0e-03,6.40,,,,,,,0.10,,,,,,"From data sheet supplied by utility   7/2017 ; CO2 rate includes hydro from Ketchikan and Swan Lake      Customer Charge is $36.30 paid only April thru October so here it is allocated over whole year."
62,"King Cove, City of - Residential",1,1,0,,0,,,0.00,1.80,0.00,,,,,,,0.30,,,,,,"7/2017 for residential; ; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
63,"Kipnuk Light Plant - Residential",1,1,0,,1,,,0.10,1.80,,,,,,,,0.32,,,,,,"updated Jan 2018 for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
64,"Kobuk Valley Electric - Residential",0,1,0,,0,0.20,,0.26,2.20,,,700,,,,,0.30,0.20,,,,,"AVEC for Shungnak 7/2017; fuel surcharge includes wind surcharge"
65,"Kodiak Electric Assn - Residential",1,1,0,,0,,0.01,,0.27,7.50,,,,,,,0.13,,,,,,"updated Jan 2018 rate schedule; CO2 includes hydro from Terror Lake and oil from Kodiak; Kodiak, Port Lions"
66,"Kokhanok Village Council - Residential",1,1,0,,0,,,0.59,2.30,10.00,,,,,,,0.90,,,,,,"AEA  updated Jan 2018 for residential
This is an unregulated utility"
67,"Koliganek Village Council - Residential",1,1,0,,0,,,0.21,2.25,21.40,,,,,,,0.50,,,,,,"AIDEA database updated Jan 2018 for residential; CO2 estimated because of lack of data from PCEStatistics from Alaska Energy Authority (DCRA)."
68,"AVEC-Kotlik - Residential",1,1,0,,0,0.20,,0.28,2.90,5.00,,700,,,,,0.30,0.20,,,,0.23,"AVEC Rate Schedule updated Jan 2018"
69,"Kotzebue Electric Assn - Residential",1,1,0,,0,,,0.18,1.60,15.00,,,,,,,0.37,,,,,,"From 7/2017 AEA"
70,"Koyukuk, City of - Residential",1,1,0,,0,,,0.31,2.25,,,,,,,,0.95,,,,,,"AEA for residential, 1/2018; CO2 estimated because of lack of data"
71,"Kuiggluum Kallugvia - Residential",1,1,0,,0,,,0.20,3.80,,,,,,,,0.52,,,,,,"Kwethluk; AEIdC database updated Jan 2018;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
72,"Kwig Power Company - Residential",1,1,0,,0,,,0.35,3.50,,,,,,,,0.67,,,,,,"AEA for residential - updated Jan 2018;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
73,"Larsen Bay Electric - Residential",1,1,0,,0,,,1.0e-04,0.25,0.00,,,,,,,0.41,,,,,,"AEA database  for residential updated Jan 2018;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA) 1995"
74,"Levelock Electric Cooperativ - Residential",1,1,0,,0,,,0.36,2.80,0.00,,,,,,,0.85,,,,,,"AEA database  for residential 1/2018;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA) 1995"
75,"Manley Utility Co - Residential",1,1,0,,1,,,0.58,2.20,20.00,,,,,,,0.85,,,,,,"AEA database for residential - updated 1/2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
76,"Manakotak Power Company - Residential",1,1,0,,0,,,0.24,2.70,0.00,,,,,,,0.55,,,,,,"AEA database for residential - updted 1/2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
77,"Matanuska Electric Assn. - Residential",1,1,0,,1,,0.07,,1.10,13.00,,1300,,,,,0.11,0.10,,,,0.07,"rates from MEA updated 1/2018  for 3 phase charges ;includes Eagle River, Chugiak, Palmer, Talkeetna, Wasilla, Willow;   there are sales tax charges in Palmer(3%), Wasilla (2.5%)and Houston (2%) and area within the Municipality of Anchorage has undergrounding surcharge of 2%"
78,"McGrath Light & Power - Residential",1,1,0,,1,,,0.37,1.70,,,,,,,,0.74,,,,,,"AEA database updated 1/2018 residential;CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
79,"Middle Kuskokwim Electric Coop - Residential",1,1,0,,1,,0.30,0.71,2.40,25.50,,,,,,,0.78,,,,,,"Tarriff schedule from RCC updated 1/2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA), averaged from total for the utility; Crooked Creek, Chuathbaluk, Red Devil, Sleetmute, Stony River;"
80,"Naknek - Residential",1,1,0,,0,0.11,,0.27,1.50,15.00,,1000,,,,,0.31,0.29,,,,,"Naknek Electric schedule 6/1/2017"
81,"Napakiak - Residential",1,1,0,,1,,,0.32,3.70,0.00,,,,,,,0.69,,,,,,"AEAdatabase updated 1/2018 for residential;CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
82,"Napaskiak, Inc - Residential",1,1,0,,0,,,0.38,2.90,25.00,,,,,,,0.70,,,,,,"AEAdatabase updated 1/2018 for residential;CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
83,"Naterkaq Light Plant - Residential",1,1,0,,0,,,0.23,2.00,,,,,,,,0.49,,,,,,"Chefornak; AIDEA database updated 1/2018; CO2 estimated from PCE Statistics from Alaska Energy Authority (DCRA)"
84,"Nelson Lagoon Electric Coop - Residential",1,1,0,,0,,,0.57,2.20,0.00,,,,,,,0.84,,,,,,"AIDEA database updated 1/2018 for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
86,"Nikolai Light & Power, City of - Residential",1,1,0,,0,,,0.42,2.00,,,,,,,,0.90,,,,,,"AEA database updated 1/2018 for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
87,"Nome Joint Utilities Systems - Residential",1,1,0,,0,0.10,,0.08,1.40,5.00,,,,,,,0.19,,,,,,"From Nome Joint Utility 2/2018; l CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
88,"North Slope Borough Utilities - Residential",1,1,0,,1,,,,2.00,15.00,,600,,,,,0.15,0.35,,,,,"NSB rate schedule updated 1/2018;  Nuiqsut has special rates because its electricity is generated by natural gas No charge for elder or handicapped customers, NSB assistance  $.20/kwh (1-300 kwh)"
90,"Nushagak Electric Cooperative - Residential",1,1,0,,0,0.16,,0.15,1.50,20.00,,,,,,,0.24,,,,,,"Dillingham and Aleknagik; Nushagak updated 1/2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
91,"Ouzinkie, City of - Residential",1,1,0,,0,,,0.12,2.20,5.00,,,,,,,0.38,,,,,,"AEA database updated 1/2018 for residential; CO2 estimated from PCE Statistics from Alaska Energy Authority (DCRA)"
92,"Paxson Lodge, Inc - Residential",0,1,0,,0,,,,1.72,,,,,,,,1.70,,,,,,"Phone call w/ Paxson Lodge by Ginny, 1/2010."
93,"Pedro Bay Village Council - Residential",1,1,0,,0,,,0.34,2.60,,,,,,,,0.81,,,,,,"AEA database updated 1/2018 for residential;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
94,"Perryville Electric Utility - Residential",1,1,0,,0,,,0.25,2.40,,,,,,,,0.95,,,,,,"AEA database updated 1/2018; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
95,"Petersburg, City of - Residential",1,1,0,,0,,,,0.01,9.00,,325,650,,,,0.11,0.11,0.07,,,,"Rates from City of Petersburg  unchanged in 1/18 since 7/2015; CO2 rates include hydro from Tyee (based on sales rather than generation)"
96,"Pilot Point  - Residential",1,1,0,,0,,,0.28,2.00,10.00,,,,,,,0.60,,,,,,"AEA report updated 1/2018 for residential;"
97,"Port Heiden, City of - Residential",1,1,0,,0,,,0.31,2.00,0.00,,,,,,,0.65,,,,,,"AEA report updated 1/2018 for residential;"
98,"Pelican - Residential",1,1,0,,0,,,0.22,0.31,0.00,,,,,,,0.49,,,,,,"Pelican Utility Co. from AEA updated 1/2018 for residential; CO2 rates include hydro and oil generation"
99,"Puvurnaq Power Company - Residential",1,1,0,,0,,,0.20,2.40,,,,,,,,0.65,,,,,,"AEA report updated 1/2018 for residential; Kongiganak"
101,"Ruby, City of - Residential",1,1,0,,0,,,0.30,2.10,5.00,,,,,,,0.75,,,,,," AEA report updated 1/2018 for residential;"
102,"Sand Point TDX - Residential",1,1,0,,1,,,0.20,1.70,6.68,,,,,,,0.44,,,,,,"AEA database updated 1/2018 for residential;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
104,"Seward, City of - Residential",1,1,0,,0,,0.09,,1.10,21.50,,,,,,,0.09,,,,,,"rates  from  City of Seward; 1/2018 ; Chugach Electric purchased energy costs vary monthly,  Purchased energy adjustment is average of summer and winter rates"
105,"Nunum Iqua Electric - Residential",1,1,0,,0,,,0.19,2.90,,,,,,,,0.39,,,,,,"AEA report updated 1/2018 for residential rates"
106,"Sitka, City & Borough - Residential",1,1,0,,0,,,,3.0e-03,20.48,,,,,,,0.15,,,,,,"updated 1/2018  from City of Sitka Electric Department internet site; Energy charges are average of summer and winter rates; CO2 rates include hydro"
107,"St. Paul, City of - Residential",1,1,0,,0,,,0.24,1.60,0.00,,,,,,,0.42,,,,,,"updated 1/2018  from AEA database for residential"
109,"Takotna Community Association - Residential",1,1,0,,0,,,0.41,2.20,,,,,,,,1.02,,,,,,"AEA database updated 1/2018  for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
110,"Tanalian Electric Coop - Residential",1,1,0,,0,,,0.29,1.90,5.00,,,,,,,0.50,,,,,,"Port Alsworth; AEA database updated 1/2018  for residential;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
111,"Tanana Power Company, Inc - Residential",1,1,0,,1,,,0.32,1.70,0.00,,,,,,,0.64,,,,,,"updated 1/2018  at AEA; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
112,"Tatitlek Electric Utility - Residential",1,1,0,,0,,,0.54,2.20,0.00,,,,,,,0.92,,,,,,"AIDEA database updated 1/2018   for residential;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
114,"Teller Power Company - Residential",0,1,0,,0,,,0.34,1.80,0.00,,,,,,,0.56,,,,,,"Inactivated because it is now part of AVEC; AIDEA database 1/2013; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
115,"Tenakee Springs Electric Utility - Residential",1,1,0,,0,,,0.31,2.00,7.50,,,,,,,0.61,,,,,,"AEA database updated 1/2018  for residential;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
120,"Tuluksak Traditional Power - Commercial - Sm",1,1,0,,0,,,,1.80,,,,,,,,0.75,,,,,,"AEA database updated 1/2018 for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
121,"Tuntutuliak Community Services - Residential",1,1,0,,0,,,0.22,1.90,,,,,,,,0.65,,,,,,"AEA database updated 1/2018 for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
122,"Umnak Power Co., The Native Vill - Residential",1,1,0,,0,,,0.57,1.80,15.00,,,,,,,0.75,,,,,,"Nikolski; AEA database updated 1/2018 ; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
123,"Unalaska, City of - Residential",1,1,0,,0,0.16,,0.14,1.60,8.00,,,,,,,0.23,,,,,,"Unalaska schedul via e-mail - updated 1/2018 ;  CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
124,"Unqusrag - Residential",1,1,0,,0,,,0.41,1.80,,,,,,,,0.80,,,,,,"Newtok; AEA database updated 1/2018  residential;   CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
127,"White Mountain, City of - Residential",1,1,0,,0,,,0.25,2.80,10.00,,,,,,,0.55,,,,,,"AIDEA database updated 1/2018  for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA)"
128,"Wrangell, City of - Residential",1,1,0,,0,,,,0.01,8.00,,300,1200,,,,0.13,0.10,0.08,,,,"Wrangell website and e-mails from Electric Dept updated 1/2018  no change from 7/2015;"
129,"AVEC - Yakutat - Residential",1,1,1,,0,,0.22,0.26,1.60,,,700,,,,,0.21,,,,,,"updated Jan 2018 from web rate schedule; CO2 rates include hydro from Tyee (based on sales rather than generation) taken over by AVEC June 2017"
131,"Self Generated Power (oil) - Residential",1,1,0,3.00,0,,,,2.20,0.00,,,,,,,1.00,,,,,,"$6 / gal oil and 10 kWh/gallon net efficiency (could be due to part loading or battery roundrip losses), gives $0.60/kWh.  Other costs as well, so use $1/kWh."
133,"Unalakleet Valley Electric Assoc - Residential",1,1,0,,1,,,0.16,1.70,4.00,,,,,,,0.42,,,,,,"AEA database updated 1/2018  for residential; CO2 from PCE Statistics from Alaska Energy Authority (DCRA) Unalakleet VEA is owned by Matanuska Electric Assn."
134,"Metlakatla Power & Light - Residential",1,1,0,,0,,,,0.40,,,,,,,,0.09,,,,,,"Updated 1/2013; CO2 rate includes hydro generation"
135,"St. George Electric Utility - Residential",1,1,0,,0,,,0.77,1.80,0.00,,,,,,,1.00,,,,,,"updated 1/2018  from AEA database for residential"
136,"Copper Valley Electric Assn 2 - Residential",1,1,0,,0,0.17,,,1.60,12.00,,,,,,,0.05,,,,,0.10,"Valdez; updated Jan 2018 website ;  Fuel surcharge here includes twelve month average of fuel charge plus generation and transmission minus heat revenue credit. This breakdown was instituted in June 2012.  CO2 from combination of Glennallen and Valdez and Solomon Gulch generation."
146,"Fairbanks Natural Gas - Residential",1,2,0,,1,,,,,12.00,,,,,,,2.08,,,,,,"Rates from Fairbanks Natural Gas rate schedule from e-mail correspondence 1/2017- no change"
147,"Homer Electric Assn Remote - Residential",0,1,0,,1,,,,1.50,11.00,,600,,,,,0.15,0.15,,,,0.06,"Halibut Cove, Port Graham, Seldovia, from website effective 7/2011; CO2 is estimated"
199,"Naukiti-APT - Residential",1,1,0,,0,,,0.03,1.80,20.00,,,,,,,0.23,,,,,,"updated 1/2018 APT report - reported rate per kwh includes COPA and RCC so I have deleted RCC charge here"
201,"AVEC-Alakanuk- Residential",1,1,0,,0,0.18,0.01,0.26,1.80,5.00,,700,,,,,0.30,0.20,,,,0.21,"AVEC Rate Schedule updated Jan 2018; purchased power adjustment is wind surcharge"
202,"AVEC-Ambler - Residential",1,1,0,,0,0.21,,0.29,1.80,5.00,,700,,,,,0.30,0.20,,,,0.19,"AVEC Rate Scheduleu updated Jan 2018"
203,"AVEC-Anvik - Residential",1,1,0,,0,0.23,,0.31,1.80,5.00,,700,,,,,0.30,0.20,,,,0.24,"AVEC Rate Schedule updated Jan 2018"
204,"AVEC-Brevig Mission - Residential",1,1,0,,0,0.17,,0.25,1.80,5.00,,700,,,,,0.30,0.20,,,,0.21,"AVEC Rate Schedule updated Jan 2018"
205,"AVEC-Chevak- Residential",1,1,0,,0,0.18,0.03,0.27,1.80,5.00,,700,,,,,0.30,0.20,,,,0.17,"AVEC Rate Schedule updated Jan 2018; Purchased power is wind surcharge"
206,"AVEC-Eek - Residential",1,1,0,,0,0.19,,0.28,1.80,5.00,,700,,,,,0.30,0.20,,,,0.23,"AVEC Rate Schedule updated Jan 2018"
207,"AVEC-Elim - Residential",1,1,0,,0,0.20,,0.29,1.80,5.00,,700,,,,,0.30,0.20,,,,0.23,"AVEC Rate Schedule updated Jan 2018"
208,"AVEC-Emmonak - Residential",1,1,0,,0,0.18,0.01,0.26,1.80,5.00,,700,,,,,0.30,0.20,,,,0.20,"AVEC Rate Schedule updated Jan 2018; includes wind surcharge as purchased energy adjustment"
209,"AVEC-Gambell - Residential",1,1,0,,0,0.17,0.03,0.26,1.80,5.00,,700,,,,,0.30,0.20,,,,0.14,"AVEC Rate Schedule updated Jan 2018; includes wind surcharge as purchased energy adjustment"
210,"AVEC-Goodnews Bay - Residential",1,1,0,,0,0.19,,0.27,1.80,5.00,,700,,,,,0.30,0.20,,,,0.24,"AVEC Rate Schedule updated Jan 2018"
211,"AVEC-Grayling- Residential",1,1,0,,0,0.20,,0.29,1.80,5.00,,700,,,,,0.30,0.20,,,,0.18,"AVEC Rate Schedule updated Jan 2018"
212,"AVEC-Holy Cross- Residential",1,1,0,,0,0.19,,0.28,1.80,5.00,,700,,,,,0.30,0.20,,,,0.18,"AVEC Rate Schedule updated Jan 2018"
213,"AVEC-Hooper Bay- Residential",1,1,0,,0,0.18,0.01,0.26,1.80,5.00,,700,,,,,0.30,0.20,,,,0.15,"AVEC Rate Schedule updated Jan 2018; includes wind surcharge as purchased energy adjustment"
214,"AVEC-Huslia - Residential",1,1,0,,0,0.22,,0.30,1.80,5.00,,700,,,,,0.30,0.20,,,,0.20,"AVEC Rate Schedule updated Jan 2018"
215,"AVEC-Kaltag- Residential",1,1,0,,0,0.20,,0.29,1.80,5.00,,700,,,,,0.30,0.20,,,,0.20,"AVEC Rate Schedule updated Jan 2018"
216,"AVEC-Kiana- Residential",1,1,0,,0,0.23,,0.31,1.80,5.00,,700,,,,,0.30,0.20,,,,0.21,"AVEC Rate Schedule updated Jan 2018"
217,"AVEC-Kivalina- Residential",1,1,0,,0,0.23,,0.31,1.80,5.00,,700,,,,,0.30,0.20,,,,0.27,"AVEC Rate Schedule updated Jan 2018"
218,"AVEC-Koyuk - Residential",1,1,0,,0,0.19,,0.27,1.80,5.00,,700,,,,,0.30,0.20,,,,0.23,"AVEC Rate Schedule updated Jan 2018"
219,"AVEC-Lwr/Upr Kalskag - Residential",1,1,0,,0,0.18,,0.27,1.80,5.00,,700,,,,,0.30,0.20,,,,0.20,"AVEC Rate Schedule updated Jan 2018"
220,"AVEC-Marshall - Residential",1,1,0,,0,0.17,,0.26,1.80,5.00,,700,,,,,0.30,0.20,,,,0.21,"AVEC Rate Schedule updated Jan 2018"
221,"AVEC-Mekoryuk - Residential",1,1,0,,0,0.19,0.01,0.28,1.80,5.00,,700,,,,,0.30,0.20,,,,0.13,"AVEC Rate Schedule updated Jan 2018; includes wind surcharge as purchased energy adjustment"
222,"AVEC-Minto - Residential",1,1,0,,0,0.18,,0.27,1.80,5.00,,700,,,,,0.30,0.20,,,,0.15,"AVEC Rate Schedule updated Jan 2018"
223,"AVEC-Mt.Village- Residential",1,1,0,,0,0.17,,0.26,1.80,5.00,,700,,,,,0.30,0.20,,,,0.21,"AVEC Rate Schedule updated Jan 2018"
224,"AVEC-New Stuyahok- Residential",1,1,0,,0,0.24,,0.32,1.80,5.00,,700,,,,,0.30,0.20,,,,0.23,"AVEC Rate Schedule updated Jan 2018"
225,"AVEC-Nightmute- Residential",1,1,0,,0,0.16,,0.25,1.80,5.00,,700,,,,,0.30,0.20,,,,0.17,"AVEC Rate Schedule updated Jan 2018, wind surcharge included as purchased energy adjustment; see Toksook Bay on AVEC schedule"
226,"AVEC-Noatak - Residential",1,1,0,,0,0.45,,0.52,1.80,5.00,,700,,,,,0.30,0.20,,,,0.44,"AVEC Rate Schedule updated Jan 2018"
227,"AVEC-Noorvik - Residential",1,1,0,,0,0.19,,0.27,1.80,5.00,,700,,,,,0.30,0.20,,,,0.27,"AVEC Rate Schedule updated Jan 2018"
228,"AVEC-Nulato- Residential",1,1,0,,0,0.20,,0.29,1.80,5.00,,700,,,,,0.30,0.20,,,,0.24,"AVEC Rate Schedule updated Jan 2018"
